Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P36002	intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; spermine transport [GO:0000296]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P34222	negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]	aminoacyl-tRNA hydrolase activity [GO:0004045]	cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P40100	heme transmembrane transport [GO:0035351]		fungal-type vacuole [GO:0000324]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P07256	aerobic respiration [GO:0009060]; electron transport chain [GO:0022900]; protein processing involved in protein targeting to mitochondrion [GO:0006627]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]
P00127	aerobic respiration [GO:0009060]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]		mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]
P25635	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; establishment of cell polarity [GO:0030010]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit assembly [GO:0000028]; rRNA methylation [GO:0031167]; septum digestion after cytokinesis [GO:0000920]	mRNA binding [GO:0003729]	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]
P07259	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; citrulline biosynthetic process [GO:0019240]; glutamine metabolic process [GO:0006541]; negative regulation of pyrimidine nucleobase metabolic process [GO:0045984]; nitrogen compound metabolic process [GO:0006807]; UTP biosynthetic process [GO:0006228]	amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P01119	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; positive regulation of adenylate cyclase activity [GO:0045762]; protein localization to bud neck [GO:0097271]; Ras protein signal transduction [GO:0007265]	GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P41056	cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]; translational termination [GO:0006415]	structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
Q12224	positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; regulation of flocculation [GO:0060256]; regulation of G1 to G0 transition [GO:1903450]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]	DNA binding, bending [GO:0008301]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; mitogen-activated protein kinase binding [GO:0051019]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]
Q07829			integral component of membrane [GO:0016021]
P46784	cellular response to amino acid starvation [GO:0034198]; cytoplasmic translation [GO:0002181]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein phosphorylation [GO:0001934]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]; translational termination [GO:0006415]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P32608	maintenance of DNA trinucleotide repeats [GO:0035753]; mitochondria-nucleus signaling pathway [GO:0031930]; nitrogen catabolite regulation of transcription from RNA polymerase II promoter [GO:0001079]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein import into nucleus [GO:0006606]; protein localization to nucleus [GO:0034504]; regulation of transcription by RNA polymerase II [GO:0006357]	phosphoprotein binding [GO:0051219]	cytoplasm [GO:0005737]; SLIK (SAGA-like) complex [GO:0046695]; transcriptionally active chromatin [GO:0035327]
P17558	mitochondrial translation [GO:0032543]	structural constituent of ribosome [GO:0003735]	mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]
P14693	mitochondrial outer membrane translocase complex assembly [GO:0070096]; protein insertion into mitochondrial outer membrane [GO:0045040]		mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; SAM complex [GO:0001401]
Q12136	cell cycle [GO:0007049]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; rRNA methylation [GO:0031167]	identical protein binding [GO:0042802]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small-subunit processome [GO:0032040]
P22214	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; vesicle fusion [GO:0006906]; vesicle fusion with endoplasmic reticulum [GO:0048279]; vesicle fusion with Golgi apparatus [GO:0048280]	SNAP receptor activity [GO:0005484]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]
P14906	cytosol to endoplasmic reticulum transport [GO:0046967]; posttranslational protein targeting to endoplasmic reticulum membrane [GO:0006620]; posttranslational protein targeting to membrane, translocation [GO:0031204]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	protein transmembrane transporter activity [GO:0008320]; RNA binding [GO:0003723]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; nuclear inner membrane [GO:0005637]; Sec62/Sec63 complex [GO:0031207]
Q04002	2-micrometer plasmid partitioning [GO:0030543]; double-strand break repair [GO:0006302]; establishment of mitotic sister chromatid cohesion [GO:0034087]; establishment of protein localization to chromatin [GO:0071169]; mitotic chromosome condensation [GO:0007076]; mitotic sister chromatid cohesion [GO:0007064]; positive regulation of mitotic cohesin loading [GO:1905406]; protein localization to chromatin [GO:0071168]; rDNA condensation [GO:0070550]; regulation of gene expression [GO:0010468]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; transcriptional activation by promoter-enhancer looping [GO:0071733]; transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000972]; tRNA gene clustering [GO:0070058]	chromatin binding [GO:0003682]; sequence-specific DNA binding [GO:0043565]	2-micrometer circle DNA [GO:0005729]; chromatin [GO:0000785]; chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; nucleus [GO:0005634]; Scc2-Scc4 cohesin loading complex [GO:0090694]; SMC loading complex [GO:0032116]
Q12369	cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; spindle assembly [GO:0051225]; spindle pole body duplication [GO:0030474]		cytoplasm [GO:0005737]; half bridge of spindle pole body [GO:0005825]; spindle pole [GO:0000922]
Q08817	adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; budding cell apical bud growth [GO:0007118]; cell cycle [GO:0007049]; septum digestion after cytokinesis [GO:0000920]; signal transduction [GO:0007165]	adenylate cyclase activity [GO:0004016]	cellular bud [GO:0005933]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]
P53953	COPII-coated vesicle cargo loading [GO:0090110]; intracellular protein transport [GO:0006886]	signal sequence binding [GO:0005048]; SNARE binding [GO:0000149]; zinc ion binding [GO:0008270]	COPII vesicle coat [GO:0030127]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]
P53438	positive regulation of transcription by RNA polymerase II [GO:0045944]; pseudohyphal growth [GO:0007124]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	cytosol [GO:0005829]; nucleus [GO:0005634]
P40092	fungal-type cell wall organization [GO:0031505]; response to acidic pH [GO:0010447]	structural constituent of cell wall [GO:0005199]	anchored component of membrane [GO:0031225]; cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
P11325	Group I intron splicing [GO:0000372]; leucyl-tRNA aminoacylation [GO:0006429]; mitochondrial translation [GO:0032543]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]; pre-mRNA intronic binding [GO:0097157]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q08749	apoptotic process [GO:0006915]; cellular response to oxidative stress [GO:0034599]; protein insertion into mitochondrial inner membrane [GO:0045039]; protein transmembrane transport [GO:0071806]; response to arsenic-containing substance [GO:0046685]; response to osmotic stress [GO:0006970]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]
P07277	ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; mevalonate kinase activity [GO:0004496]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P32435	mating [GO:0007618]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]	cupric ion binding [GO:1903135]; mating pheromone activity [GO:0000772]	extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]
Q07684	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]	RNA polymerase II activating transcription factor binding [GO:0001102]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]
P40356	negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA polymerase II preinitiation complex assembly [GO:0051123]	RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II repressing transcription factor binding [GO:0001103]; transcription coactivator activity [GO:0003713]	core mediator complex [GO:0070847]; mediator complex [GO:0016592]
P38335			cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]; peroxisome [GO:0005777]
P0CE92	ascospore formation [GO:0030437]; fungal-type cell wall organization [GO:0031505]; positive regulation of transcription by RNA polymerase II [GO:0045944]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall [GO:0009277]
P25580	GPI anchor biosynthetic process [GO:0006506]; protein processing [GO:0016485]; ubiquitin-dependent ERAD pathway [GO:0030433]	mannosyltransferase activity [GO:0000030]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; glycosylphosphatidylinositol-mannosyltransferase I complex [GO:1990529]; integral component of membrane [GO:0016021]
P50947	chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; negative regulation of autophagy [GO:0010507]; negative regulation of chromatin silencing at telomere [GO:0031939]; negative regulation of ribosomal DNA heterochromatin assembly [GO:0061188]; negative regulation of silent mating-type cassette heterochromatin assembly [GO:0061186]; negative regulation of transcription by RNA polymerase I [GO:0016479]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of invasive growth in response to glucose limitation [GO:2000219]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; regulation of protein localization by the Cvt pathway [GO:2001159]	metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]	histone deacetylase complex [GO:0000118]; nucleus [GO:0005634]; Rpd3L complex [GO:0033698]; Rpd3L-Expanded complex [GO:0070210]
P14242	meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]	cytoplasm [GO:0005737]; mismatch repair complex [GO:0032300]; MutLalpha complex [GO:0032389]; nucleus [GO:0005634]
P32598	ascospore formation [GO:0030437]; cellular ion homeostasis [GO:0006873]; chromosome segregation [GO:0007059]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; DNA damage checkpoint [GO:0000077]; DNA replication checkpoint [GO:0000076]; glycogen metabolic process [GO:0005977]; histone dephosphorylation [GO:0016576]; meiotic cell cycle [GO:0051321]; mitotic spindle assembly checkpoint [GO:0007094]; mRNA processing [GO:0006397]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; positive regulation of mitotic actomyosin contractile ring assembly [GO:1903501]; positive regulation of protein dephosphorylation [GO:0035307]; protein dephosphorylation [GO:0006470]; protein localization to kinetochore [GO:0034501]; regulation of cell budding [GO:0007116]; regulation of cell cycle [GO:0051726]; regulation of cell shape [GO:0008360]; regulation of glycogen metabolic process [GO:0070873]; regulation of mitotic cell cycle [GO:0007346]; regulation of protein localization to cell division site involved in cytokinesis [GO:1901901]; replication fork processing [GO:0031297]; response to heat [GO:0009408]; response to unfolded protein [GO:0006986]; telomere maintenance [GO:0000723]; transfer RNA gene-mediated silencing [GO:0061587]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]	cell division site [GO:0032153]; cellular bud neck [GO:0005935]; condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; mating projection base [GO:0001400]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein phosphatase type 1 complex [GO:0000164]; spindle pole body [GO:0005816]
O13516	cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; positive regulation of translational fidelity [GO:0045903]; rRNA methylation [GO:0031167]; translational termination [GO:0006415]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small ribosomal subunit [GO:0015935]; small-subunit processome [GO:0032040]
P53236	ATP-dependent chromatin remodeling [GO:0043044]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; nucleosome disassembly [GO:0006337]; regulation of sporulation resulting in formation of a cellular spore [GO:0042173]; sporulation resulting in formation of a cellular spore [GO:0030435]; transcription elongation from RNA polymerase II promoter [GO:0006368]	chromatin binding [GO:0003682]	RSC-type complex [GO:0016586]
Q02206	ATP-dependent chromatin remodeling [GO:0043044]; nucleosome disassembly [GO:0006337]; transcription elongation from RNA polymerase II promoter [GO:0006368]	chromatin binding [GO:0003682]; lysine-acetylated histone binding [GO:0070577]	RSC-type complex [GO:0016586]
O14464	mitochondrial translation [GO:0032543]; ribosome biogenesis [GO:0042254]	structural constituent of ribosome [GO:0003735]	mitochondrial large ribosomal subunit [GO:0005762]
P33330	L-serine biosynthetic process [GO:0006564]; purine nucleobase biosynthetic process [GO:0009113]; serine family amino acid biosynthetic process [GO:0009070]	O-phospho-L-serine:2-oxoglutarate aminotransferase activity [GO:0004648]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]
P50278	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, oxidative branch [GO:0009051]; tRNA export from nucleus [GO:0006409]	6-phosphogluconolactonase activity [GO:0017057]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P38282	generation of catalytic spliceosome for first transesterification step [GO:0000349]; mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	cytosol [GO:0005829]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
P53266	mitochondrial cytochrome c oxidase assembly [GO:0033617]	unfolded protein binding [GO:0051082]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q06091	mRNA splicing, via spliceosome [GO:0000398]		Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]
P23201	bipolar cellular bud site selection [GO:0007121]; budding cell apical bud growth [GO:0007118]; establishment of cell polarity [GO:0030010]; invasive filamentous growth [GO:0036267]; mating projection formation [GO:0031382]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; pseudohyphal growth [GO:0007124]; regulation of cell shape [GO:0008360]; regulation of cellular protein localization [GO:1903827]; regulation of initiation of mating projection growth [GO:0031384]; regulation of protein localization [GO:0032880]; regulation of termination of mating projection growth [GO:0031385]	MAP-kinase scaffold activity [GO:0005078]	actomyosin contractile ring [GO:0005826]; cell cortex [GO:0005938]; cell cortex of growing cell tip [GO:1902716]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; polarisome [GO:0000133]
P36136	carbohydrate metabolic process [GO:0005975]; ribose phosphate biosynthetic process [GO:0046390]	oxidoreductase activity [GO:0016491]; sedoheptulose-bisphosphatase activity [GO:0050278]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P25567	regulation of translation [GO:0006417]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]	cytoplasmic stress granule [GO:0010494]; polysome [GO:0005844]
P39926	ascospore-type prospore assembly [GO:0031321]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular protein transport [GO:0006886]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]	phosphatidic acid binding [GO:0070300]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; prospore membrane [GO:0005628]; SNARE complex [GO:0031201]
Q04048	generation of catalytic spliceosome for first transesterification step [GO:0000349]; mRNA splicing, via spliceosome [GO:0000398]		cytosol [GO:0005829]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type post-mRNA release spliceosomal complex [GO:0071008]; U2-type prespliceosome [GO:0071004]
P53215	tRNA modification [GO:0006400]; tRNA processing [GO:0008033]	GTP binding [GO:0005525]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; tRNA guanylyltransferase activity [GO:0008193]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q12308	5S class rRNA transcription by RNA polymerase III [GO:0042791]; transcription by RNA polymerase III [GO:0006383]	DNA binding [GO:0003677]	nucleus [GO:0005634]; transcription factor TFIIIC complex [GO:0000127]
Q07904	transmembrane transport [GO:0055085]	transmembrane transporter activity [GO:0022857]	cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; intrinsic component of membrane [GO:0031224]; plasma membrane [GO:0005886]
P35202	thiamine diphosphate biosynthetic process [GO:0009229]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; thiamine binding [GO:0030975]; thiamine diphosphokinase activity [GO:0004788]	cytoplasm [GO:0005737]
Q12218	fungal-type cell wall organization [GO:0031505]	structural constituent of cell wall [GO:0005199]	anchored component of membrane [GO:0031225]; cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole [GO:0000324]
P32613	cellular protein-containing complex assembly [GO:0034622]; early endosome to Golgi transport [GO:0034498]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]		cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; TRAPPII protein complex [GO:1990071]
Q03533	cellular response to oxidative stress [GO:0034599]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q06451	spermine transport [GO:0000296]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	antiporter activity [GO:0015297]; spermine transmembrane transporter activity [GO:0000297]; xenobiotic transmembrane transporter activity [GO:0042910]	cell periphery [GO:0071944]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q04600	formation of translation preinitiation complex [GO:0001731]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]	
P47168	cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; cellular response to nutrient levels [GO:0031669]; cellular response to salt stress [GO:0071472]; chromatin organization [GO:0006325]		ASTRA complex [GO:0070209]; cytoplasm [GO:0005737]
P53872	cellular response to water deprivation [GO:0042631]		anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q12428	propionate metabolic process [GO:0019541]; propionate metabolic process, methylcitrate cycle [GO:0019679]	2 iron, 2 sulfur cluster binding [GO:0051537]; 2-methylcitrate dehydratase activity [GO:0047547]	cytoplasm [GO:0005737]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
P33329	cellular sodium ion homeostasis [GO:0006883]	metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
