Majority protein IDs	Gene names	Q-value	Score	Ratio H/L AP4B1KO_02_03K	Ratio H/L AP4B1KO_02_06K	Ratio H/L AP4B1KO_02_12K	Ratio H/L AP4B1KO_02_24K	Ratio H/L AP4B1KO_02_80K	Ratio H/L AP4B1KO_03_03K	Ratio H/L AP4B1KO_03_06K	Ratio H/L AP4B1KO_03_12K	Ratio H/L AP4B1KO_03_24K	Ratio H/L AP4B1KO_03_80K	Ratio H/L AP4E1KO_02_03K	Ratio H/L AP4E1KO_02_06K	Ratio H/L AP4E1KO_02_12K	Ratio H/L AP4E1KO_02_24K	Ratio H/L AP4E1KO_02_80K	Ratio H/L AP4E1KO_03_03K	Ratio H/L AP4E1KO_03_06K	Ratio H/L AP4E1KO_03_12K	Ratio H/L AP4E1KO_03_24K	Ratio H/L AP4E1KO_03_80K	Ratio H/L WtHeLa_02_03K	Ratio H/L WtHeLa_02_06K	Ratio H/L WtHeLa_02_12K	Ratio H/L WtHeLa_02_24K	Ratio H/L WtHeLa_02_80K	Ratio H/L WtHeLa_03_03K	Ratio H/L WtHeLa_03_06K	Ratio H/L WtHeLa_03_12K	Ratio H/L WtHeLa_03_24K	Ratio H/L WtHeLa_03_80K	Reverse	Potential contaminant
A2RRH5;A2RRH5-2;A2RRH5-4	WDR27	1.0	-2.0	0.8382299999999999				1.0456										0.8226399999999999						0.45882							0.9549700000000001				
A2RRP1;A2RRP1-2	NBAS	0.0	323.31	1.2261	0.57726	0.62837	1.5302	3.605	1.2701	0.62659	0.62202	1.3269	3.568	1.081	0.5925600000000001	0.70699	2.0971	3.6567	1.183	0.60496	0.6746	1.7054	3.5129	1.0312	0.5215	0.62969	1.6981	4.1596	1.0327	0.56534	0.79718	1.8726	3.3212		
A2RTX5;A2RTX5-2	TARSL2	0.0	10.285			0.6884		0.35097	1.1829	0.89859	1.1073	3.2871	0.48441999999999996					0.31043000000000004			1.3664			1.1422		0.70357		0.41777		1.7549			0.28926		
A2RU67	KIAA1467	0.0	83.84700000000001	1.4683	0.92348	0.8566299999999999	0.8173199999999999	0.54397	1.7519999999999998	1.3124	1.1755	0.64568	0.61633	1.5173	0.9080299999999999	0.8325100000000001	0.85969	0.6085699999999999	1.2676	1.064	0.79792	0.95491	0.62247	1.2619	0.8587100000000001	0.61155	0.83115	0.82706	1.4652	0.87116	1.115	0.8809	0.75912		
A2RUS2;A2RUS2-2	DENND3	0.0	9.5843	1.633	2.5167	0.60231	0.25756	0.33731	2.0545	1.8039	0.88356	0.34539000000000003	0.30727			0.6028	0.43993999999999994	0.36191	1.9161	2.634		0.5593100000000001	0.34233	1.1962			0.42891	0.34158			1.7069999999999999	0.42468999999999996	0.40573000000000004		
A2VDJ0-3;A2VDJ0-5;A2VDJ0;A2VDJ0-6;A2VDJ0-2	KIAA0922	0.0	55.786	1.5772	0.54242	0.6199600000000001	1.5449	0.39589	1.5285	0.53332	0.6310600000000001	1.2003	0.37078	0.89759	0.48349	0.8850399999999999			1.3394	0.52805	0.6917	2.469	0.42003	1.0772	0.45243999999999995	0.6186	0.65535	0.8773700000000001	1.0538	0.45646000000000003	0.8267399999999999	0.5317	2.3273		
A3KMH1;A3KMH1-3;A3KMH1-2	VWA8	0.0	323.31	0.48378000000000004	0.58339	4.5476	13.495	19.147000000000002	0.46028	0.61429	4.6362	11.504000000000001	18.487000000000002	0.39434	0.59536	5.8984	12.315999999999999	18.567999999999998	0.46497	0.6148899999999999	4.7874	13.525	15.312999999999999	0.39878	0.5637300000000001	4.7399	12.312999999999999	18.369	0.43896	0.56499	4.9654	12.699000000000002	15.687000000000001		
A3KN83;A3KN83-2;A3KN83-3;A3KN83-4	SBNO1	0.0	44.367	1.1027	1.0867	0.57586	0.9084700000000001	0.49023999999999995	0.8754700000000001	1.2031	0.7476	0.44782	0.55575	1.6640000000000001	1.2133	0.7079	0.43551000000000006	0.4296	0.8827799999999999	1.0757	0.9560200000000001	0.54178	0.48915	1.8162	0.96142	0.5654	0.32369000000000003	0.35279	1.1107	1.1179999999999999	0.75225	0.5202100000000001	0.48808		
A4D1E9;A4D1E9-2	GTPBP10	0.0	224.19	0.49103	0.59668	8.9744	19.714000000000002	12.040999999999999	0.45269	0.65866	8.5536	9.7625	18.058	0.36884	0.6011	10.115	15.731	12.769	0.44773999999999997	0.59511	8.3013	18.504	13.795	0.37216	0.53654	7.4526	9.3748	15.66	0.43376000000000003	0.57134	8.4905	17.977	13.610999999999999		
A4D1P6;A4D1P6-2	WDR91	0.0	23.274	1.5097	0.47626999999999997	1.0297			1.2623	0.53252	0.81489	3.0838	3.6813	1.6079	0.70582		2.0667		1.2057	0.58014	0.71033	1.7009	3.3192	0.61398	0.8522200000000001	0.41656000000000004			1.2166	0.4642	1.1392				
A4D1S5;A4D1S5-2	RAB19	0.00080225	2.846		0.86166	0.85275			0.98196	0.7770600000000001	0.79019				0.72343	0.9945200000000001				0.81419					0.7301300000000001		1.3026		0.9176799999999999	0.8055399999999999	1.4373				
A4D1U4	LCHN	0.0	33.188	0.43283	0.80267	0.61295	0.8229700000000001	0.8257	2.0195	1.251	0.66188	0.72595	0.8825200000000001	1.4442	0.8508399999999999	0.9452799999999999		0.8233600000000001	1.6975	0.71728	0.72764	1.1340000000000001		1.5381	1.05	0.49687	0.86915	1.0809	1.061		0.75563	0.83214			
A4QPH2-2	PI4KAP2	1.0	-2.0							0.69366	0.72718	1.8438	15.537						0.83683	0.80447	0.5991	1.5736							1.705	1.2073	1.8365	2.3939			
A5D8V6	VPS37C	0.0	7.5305	1.4995	0.80753	0.57022	0.60238	0.70177			0.53108	0.75762	0.8563299999999999	1.1893	0.83944	0.8605200000000001	0.5854199999999999	0.56697	1.3429	0.84856		0.3933	0.60147	1.2429	0.71888	0.41877	0.40668000000000004	0.5522199999999999		0.8094899999999999	0.7820699999999999	0.57816	0.63465		
A5PLL7;A5PLL7-2	TMEM189	0.0	28.098000000000003	1.1502	0.57363	0.57962	1.383	2.8844	1.2694	0.64015	0.72445	1.4156	2.648	1.0564	0.6191800000000001	0.7925300000000001	1.8156	1.9117	1.1684	0.56889	0.72053	1.9848	3.8453	0.92569	0.64793	0.5776	1.5959999999999999	2.9132	0.9659200000000001	0.51013	0.82181	1.6997	2.3231		
A5PLN9-4;A5PLN9-5;A5PLN9;A5PLN9-2;A5PLN9-7	TRAPPC13	0.0	195.87	3.0712	2.1129	0.75732	0.46762	0.43854	2.8377	2.3572	0.8997700000000001	0.4025	0.40153	2.5342	2.1124	0.8021	0.4942	0.39016	2.452	1.993	0.90125	0.48512	0.48541999999999996	2.1182	2.0236	0.59522	0.42755	0.43201999999999996	2.2354	1.5002	1.0193	0.53055	0.3824		
A5YKK6;A5YKK6-4	CNOT1	0.0	323.31	3.4819	2.1053	0.64675	0.41631	0.3932	3.5345	2.1601	0.7731399999999999	0.38273	0.43111000000000005	3.2814	2.0066	0.6067899999999999	0.39694	0.3947	3.3846	1.9619	0.71048	0.42533999999999994	0.4152	3.5679	1.9769	0.53745	0.37535999999999997	0.4398	3.4104	1.9811	0.7447	0.41391999999999995	0.37515		
A5YKK6-2;A5YKK6-3	CNOT1	0.0	36.234	2.8289999999999997	1.9092	0.6471600000000001	0.36325999999999997	0.30943000000000004	2.1287	2.1385	0.64304	0.36407	0.40698	2.2774	2.2437	0.60865	0.42562	0.44393999999999995	2.9812	1.449	0.65054	0.47778000000000004	0.37437	2.7489999999999997	1.4564	0.52998	0.36924	0.45703	2.403		0.72875	0.38526	0.3939		
Q9GZQ8;A6NCE7;Q9H492;Q9H492-2	MAP1LC3B;MAP1LC3B2;MAP1LC3A	0.0	9.6589	1.0229	0.57487	0.59301	0.94583	1.3764	1.11	0.82726	0.6731199999999999	1.1274	1.6896	0.90089	0.63964	0.5202399999999999	0.5954699999999999	1.5398	1.0578	0.58025	0.58763	0.9285200000000001	1.3058	1.2265	0.58917	0.45501	0.94929	2.2247	1.2739	0.66738	0.6068899999999999	0.93611	1.5215		
A6ND36	FAM83G	0.0	6.2854	1.32	0.70436	0.82027	1.0401	0.8663299999999999	1.2409	0.85256	0.82221	1.0597	1.6002	1.062	0.61132	0.68407	0.91241	0.72707	1.5347	0.5453100000000001	0.7128899999999999	1.1666	0.65128	1.3807	0.8880899999999999	0.8053899999999999	0.84354	0.8414799999999999	1.0152	0.5597	1.0856	0.98565	0.74447		
A6NDG6	PGP	0.0	64.77	0.36651	0.44068	0.30975	0.33464	0.48341999999999996	0.33338	0.42196999999999996	0.23713	0.34409	0.63867	0.33352	0.49333999999999995	0.29625	0.29222	0.48023999999999994	0.42953	0.43043000000000003	0.34947	0.37675	0.488	0.64859	0.32497	0.36457	0.25839	0.29875999999999997	0.42505	0.39953	0.33027	0.26796	0.72501		
A6NDU8	C5orf51	0.0	31.595	1.7601	0.42649	0.42506000000000005	0.4554	0.69253	0.5121100000000001	0.42778	0.43513	0.44131000000000004	0.8428899999999999	0.56653	0.75505	0.39981	0.34659	0.55577	2.293	0.4565	0.32098000000000004	0.54169	0.74331	0.45908999999999994	0.5390199999999999	0.34396	0.38742	0.81235	0.5605399999999999	0.47967	0.39976	0.42046000000000006	0.9279700000000001		
A6NGC4	TLCD2	0.0	6.7742	0.9903799999999999	0.48358	0.56442	4.3601			0.73941	0.6665300000000001			1.1106	0.46771999999999997									1.1232	0.45486000000000004	0.72525									
A6NGR9	MROH6	0.0	6.7751	0.92901	0.5751	0.6715899999999999	0.48573999999999995	0.19293				0.24736	0.60502	1.1918	0.29081	0.56118	0.30355	0.28789000000000003					0.43477				0.44072						3.1973		
A6NHQ2	FBLL1	0.0014337999999999998	2.073	0.33678		0.29173000000000004			0.8456899999999999	3.4485	2.1188	0.86872	0.69876				0.55569			1.6042	0.78998	0.6076	0.31385							2.5354			0.65012		
A6NHR9;A6NHR9-2	SMCHD1	0.0	323.31	0.32219000000000003	3.2608	0.8907	0.60758	0.5309	0.9877600000000001	4.6751	1.6654	0.8903399999999999	0.8082600000000001	0.6345	3.2198	0.9470200000000001	0.6189	0.5515399999999999	0.57786	2.3427	0.92219	0.59046	0.44082	1.0112	2.9096	0.9018799999999999	0.52368	0.5465399999999999	1.1062	3.3471	1.0695	0.63222	0.55223		
A6NHX0;Q8WTX7	GATSL2;GATSL3	0.00027281	3.6749											0.81314																		0.24309			
A6NI28	ARHGAP42	0.0	9.3183		1.0487	0.98451	0.91485	0.65703	0.66457	2.2401	1.3833	0.53699	0.9255399999999999	0.75655	1.1018	0.8335899999999999	0.61425	0.561	0.71303	1.5111	0.80419	0.57731	0.63276	0.6823100000000001	2.6749	0.66068	0.5182100000000001	0.5403899999999999			0.86511	0.62526	0.43953000000000003		
A6NIH7	UNC119B	0.0	34.631	0.74443	0.9706799999999999	0.72521	0.58295	0.5507	1.1707	1.0146	0.7940699999999999	0.77062	1.2009	0.75752	1.1681	0.74416	0.69194	0.65204	0.84506	1.0562	0.83096	0.53956	0.77873	1.1549	1.1866	0.40669	0.56476	0.57297	0.97472		0.73229	0.78615	0.85078		
A6NJ78;A6NJ78-2	METTL15	0.0	276.25	0.46788	0.58962	9.1019	7.0838	7.2643	0.45191000000000003	0.65188	10.970999999999998	7.1867	23.789	0.36729	0.62841	11.243	10.948	14.055	0.42718999999999996	0.62068	7.9384	10.084	14.568	0.4149	0.60446	8.9533	137.21	15.832	0.44773	0.63718	9.4297	12.414000000000001	15.481		
A6NKD9	CCDC85C	0.0	89.376	1.7651	2.4068	1.2115	0.46931999999999996	1.1232	1.7658	3.6104	1.1520000000000001	0.512	0.5051899999999999			0.63888	0.42901000000000006	0.36591999999999997	1.8833	2.1674	1.0637	0.5151399999999999	0.46399999999999997	1.5584	0.65442	0.49071000000000004	0.34326999999999996	0.42766000000000004	1.6061	0.85661	1.4072	0.5458	0.37381		
A6NKF1;A6NKF1-2	SAC3D1	0.0	109.08	2.4354		0.85088	0.50376	0.23028	3.0785	2.7348	1.129	0.5725	0.5502100000000001	3.2226	1.6404	1.3231	0.48448	0.30746999999999997	3.0038	3.01	1.1253	0.5811	0.3821	3.0032	3.2269	0.85125	0.56106	0.32051		2.128	1.1065	0.55558	0.45357		
A6NKT7	RGPD3	0.00040562	3.2867			0.72747	1.8524	2.4274											0.8958200000000001							0.65158						1.8326	3.1282		
A6NMY6	ANXA2P2	1.0	-2.0											0.40967																					
A6NNA2	SRRM3	1.0	-2.0	1.0713	0.93547	0.45125	0.56579	0.56182	1.3609	1.4111	0.5726899999999999	0.39169			1.5097		0.46697	0.41436000000000006	0.66125	1.2441	0.57289		0.46183	1.3829	1.3732	0.63689	0.54381	0.48536	1.3164			0.50156	0.42975		
A6NNL5	C15orf61	0.00014166	5.2194	0.47008	0.57194				0.42107	1.2937	4.3094			0.37325	0.5394100000000001	3.3008			0.5132	1.7544		2.6394	4.1256	0.29744	0.5017699999999999				1.1376	0.6580600000000001					
A6NNM8	TTLL13P	0.0037342	1.7664	1.28	1.0665	0.706	0.53654	0.41593	1.2264	0.6401899999999999	0.82886	0.45033999999999996	0.40723000000000004	1.2712	1.6474	0.57262	0.39423	0.43906999999999996	0.36472	0.9667899999999999	0.7147	3.2307	0.40812	3.0656	1.7691	0.55153	0.43688	0.45246000000000003	0.95657	1.6846	0.7339	0.40388	0.37138000000000004		
A6NNZ2		1.0	-2.0						1.5275										1.2574	0.6419199999999999	0.84283								0.90374	0.72014	0.79082	1.2841	1.1005		
A7E2V4;A7E2V4-5;A7E2V4-3;A7E2V4-4;A7E2V4-2	ZSWIM8	0.0	7.3561	0.5546300000000001			0.9587100000000001		0.73107	0.86705	0.77655	0.8943200000000001	0.6816300000000001			0.8222799999999999	0.85335	0.73355			0.41013999999999995	0.50542	0.35675999999999997	0.63598		1.1699		0.66503				0.5681	0.54284		
A7KAX9;A7KAX9-2	ARHGAP32	0.0	12.283		0.8183699999999999	0.76531	0.9336700000000001	0.6795800000000001	0.76071	0.8351299999999999	1.0693	1.2129	2.1947		0.84426	0.77512	0.82124	1.2621	0.7046600000000001	0.9093100000000001	0.76995	0.37954	1.3267	0.59012	0.48653			1.2437	0.37184	0.8781100000000001		1.2277			
A8CG34	POM121C	0.0	9.0473	0.32664	1.0284		3.4456	4.3214	0.61941	0.6198899999999999	1.0785	1.6329	3.6916	0.31879	0.49505	0.72251				0.6143	0.9264399999999999			0.45573	0.46831999999999996	0.6471600000000001	1.5302	4.6529	0.59695	0.45511999999999997	0.85924	4.7024			
A8K855;A8K855-2	EFCAB7	0.0	27.476	2.0222	0.92732	0.74635	0.52078	0.48553	0.8472200000000001	0.6046699999999999	1.1672	0.66285	0.56997	0.8875200000000001	0.444	0.66627	0.52222	0.44815	1.4871	0.62932	0.55755	0.57986	0.49505	1.6587	1.6194	0.68774	0.47576	0.54642	1.9697		2.0647	0.7440399999999999	0.61893		
A8K8P3;A8K8P3-4;A8K8P3-10;A8K8P3-3;A8K8P3-9;A8K8P3-2;A8K8P3-5	SFI1	0.0062452	1.5075	0.32950999999999997		0.6906899999999999		1.1077	0.77859							0.66287		1.3358						0.70654	0.75776	0.67251	1.7316	1.3401	0.66978	0.82424	0.90846	0.94731			
A8MQ03	CYSRT1	0.0	10.719000000000001	0.45363000000000003	0.61047	0.74478	1.8151		0.55098		0.77568	1.5545		0.63332	0.62602	0.67275	1.7501	3.1934	0.79923		0.59491	2.0532		0.76689	0.68672	0.58181	1.3772		0.51786	0.58309		2.2532	4.2144		
A8MSI8	LYRM9	0.004743	1.6186																					0.19874					0.37314						
A8MT33	SYCE1L	0.009719799999999999	1.2774	0.30771	0.5958100000000001	1.2576		11.855	0.38986				0.69368	0.73827	1.1249	1.1848	0.63135	0.65046	0.62146	0.9240799999999999	1.2096	0.67797	2.9111	0.77615	0.70229	1.37			0.7703800000000001	0.73482			0.8833700000000001		
A8MT69-2;A8MT69;A8MT69-3	STRA13	0.0099559	1.248																																
A8MTT3	CEBPZOS	0.0	6.5836	0.44828	0.5675100000000001	9.3455	26.123	11.328	0.44338	0.63651	7.3937	19.781	29.471	0.3569	0.58215	9.6937	23.666	40.061	0.42385	0.61152	6.4314	6.0072	19.949	0.37726	0.5361	6.7828	23.749000000000002	25.433000000000003	0.40008	0.5556	6.8026	22.72	20.179000000000002		
A8MVW0	FAM171A2	0.0	25.013	0.55595	0.64189	0.8244799999999999	1.6651		0.5542699999999999	0.64537	0.73153	1.8404		0.65525	0.9486700000000001	0.7297	1.6874	0.70677	0.69307	0.55702	1.0395	1.5246	16.74	0.62432	0.20765	0.5395399999999999	0.52428	0.8994200000000001	0.76731	0.9701700000000001		1.1003			
P62308;A8MWD9	SNRPG;SNRPGP15	0.0	7.0849	0.42239	1.7324	0.80218	0.57096	0.41036999999999996	1.0907	2.3113	1.3068	0.75797	0.6641	0.7189800000000001	2.074	0.7426	0.60072	0.44333999999999996	0.61766	1.4208	0.76132	0.59526	0.38453000000000004	1.0454	2.035	0.93321	0.67176	0.65465	1.1137	1.7424	1.2991	0.80165	0.6048		
A8MXV4	NUDT19	0.0	49.611000000000004	0.45924	0.49288000000000004	2.523	7.1193	11.597000000000001	0.46211	0.59606	2.4007	7.598	14.37	0.36475	0.50729	2.8645	7.8779	7.0289	0.5041899999999999	0.54725	2.2891	5.6174	12.171	0.39288	0.49661000000000005	2.4811	9.1442	11.661	0.46603	0.5374800000000001	3.4151	8.797	8.8774		
A9UHW6;A9UHW6-2;A9UHW6-3	MIF4GD	0.0	7.016	0.75164	0.71865				1.1706		0.8049				0.7752600000000001				2.1587	1.1582			0.46793	0.89743	0.58525	0.68192				0.6884600000000001	0.78433	0.7520399999999999			
B0YJ81	HACD1	0.0	26.772	1.1526	0.52622	0.70076	2.4263	8.8753	1.1992	0.56843	0.64873	2.0748		0.9041799999999999	0.56457	0.79569	3.0221		1.0896	0.5464100000000001	0.79696	1.6524	2.2899	0.8931399999999999	0.45769	0.63254	2.8367	24.92	1.0479	0.54272	0.83631	2.3762	6.8057		
B1AK53	ESPN	0.000272	3.4811	0.4004	0.44431000000000004	0.90412			1.4939	0.40568000000000004	0.50535	1.8162		0.48718		0.55906	2.9147		1.0529	0.47202	0.73807	1.8326	13.423	0.32584		0.6381600000000001	1.7696		0.88149	0.57776	0.92538	1.1649	0.44001999999999997		
B2RUZ4	SMIM1	0.0037371	1.7819	1.0245	0.7892899999999999	0.43837	0.5876899999999999	1.1806	0.8564799999999999		0.36435		1.1813	0.8875700000000001	0.9176799999999999	0.45138999999999996	0.8690200000000001	0.9505399999999999	1.0652	1.0052	0.50044	0.73445	0.8382299999999999		0.73093	0.46571	0.72534	0.8262799999999999	1.5943	0.9344100000000001	0.74905	0.5553600000000001			
B3EWF7	EPM2A	0.00093221	2.6959	4.9566	3.1647	0.62027	0.428	0.40785	3.4318	2.8098	0.7158100000000001	0.34201	0.44218	4.4185	2.4245	0.56155	0.38327	0.38911	4.4717	2.2345	0.57184	0.36275999999999997	0.39593	5.0014	3.0589999999999997	0.45858000000000004	0.31306999999999996	0.42627	3.9872	2.6736	0.78309	0.39782	0.38545999999999997		
